historical_source_path_sha256,historical_source_sha256,historical_source_bytes,records,historical_source_status,public_projection_path,public_projection_sha256
e8334ded5bce0bf799cbf5134892fdbf377b4d8a8b23a7adb64b60c97a35d29f,d4ab92f7d3ca4c61fede978adfd6a3aa6108d759f128344c2fd974429a9922d5,603811,1400,NOT_RETAINED,07_verification/verifier_input_manifest.jsonl,435bd442886a99c1ecfb876ee47ec4addda5e865d3317a0c160fce71ba9b0d38
c63ab506e99be2cda1f47375736658dadbffd0bcc55544862475fe27aa361413,29007163e064ddbf45dddb08763a8dd08acb84c366b1f92cfd1270df34b3acfb,1435384,2240,NOT_RETAINED,05_generations/generation_manifest.jsonl,d417b8edc80b15aa946842053114b69395c21f76051a5d08f6ccf66fa0fc90a1
