system,h_supp,h_exec,composite_harm,coverage,tokens,latency_p50
NoCert,0.1159,0.0652,0.1725,0.9583,1210,670.7
ShieldAgent,0.1099,0.0350,0.1403,0.9111,1672,885.2
VERIMAP,0.0745,0.0284,0.1013,0.8778,1819,1059.6
AgentRR,0.0835,0.0355,0.1174,0.8986,1784,992.3
CitationOnly,0.0425,0.0629,0.1039,0.8819,1513,800.6
PCG-MAS,0.0488,0.0352,0.0823,0.8264,2325,1360.3
