cell_id,N_all,N_nocert_accepted,N_pcg_answered,nocert_bad_accept_count_all,pcg_bad_accept_count_on_A,nocert_bad_accept_incidence_all,nocert_conditional_harm,mean_nocert_loss_on_A,pcg_conditional_harm_on_A,S,S_ci_low,S_ci_high,V,V_ci_low,V_ci_high,S_plus_V,identity_residual,pairing_hash
Llama-3.1-8B__TAT-QA,240,230,200,47,16,0.1958,0.2043,0.1650,0.0800,0.0308,0.0158,0.0458,0.0850,0.0650,0.1050,0.1158,0.00000000000000,fdb3e2c4d4dc8883
Llama-3.1-8B__ToolBench,240,230,200,41,21,0.1708,0.1783,0.1700,0.1050,0.0008,-0.0142,0.0158,0.0650,0.0450,0.0850,0.0658,0.00000000000000,960cbea1daf64233
Llama-3.1-8B__WebLINX,240,230,200,42,19,0.1750,0.1826,0.1750,0.0950,0.0000,-0.0150,0.0150,0.0800,0.0600,0.1000,0.0800,0.00000000000000,1a579e34117ec8b1
Llama-3.1-8B__Adversarial-Integrity,240,230,200,57,27,0.2375,0.2478,0.2300,0.1350,0.0075,-0.0075,0.0225,0.0950,0.0750,0.1150,0.1025,0.00000000000000,c1dc510b95bc8604
Gemma-2-9b-it__FEVER,240,230,200,29,15,0.1208,0.1261,0.1400,0.0750,-0.0192,-0.0342,-0.0042,0.0650,0.0450,0.0850,0.0458,0.00000000000000,8c1c38bf336a9abc
Gemma-2-9b-it__HotpotQA,240,230,200,37,20,0.1542,0.1609,0.1650,0.1000,-0.0108,-0.0258,0.0042,0.0650,0.0450,0.0850,0.0542,0.00000000000000,f9d6530cb5058bec
Gemma-2-9b-it__2WikiMultihopQA,240,230,200,37,14,0.1542,0.1609,0.1500,0.0700,0.0042,-0.0108,0.0192,0.0800,0.0600,0.1000,0.0842,0.00000000000000,da324199bab125a3
Gemma-2-9b-it__PubMedQA,240,230,200,32,16,0.1333,0.1391,0.1400,0.0800,-0.0067,-0.0217,0.0083,0.0600,0.0400,0.0800,0.0533,0.00000000000000,4005fdd0ecddb55b
Gemma-2-9b-it__TAT-QA,240,230,200,36,21,0.1500,0.1565,0.1650,0.1050,-0.0150,-0.0300,-0.0000,0.0600,0.0400,0.0800,0.0450,0.00000000000000,f9521702a3fbbdf6
Gemma-2-9b-it__ToolBench,240,230,200,49,22,0.2042,0.2130,0.2000,0.1100,0.0042,-0.0108,0.0192,0.0900,0.0700,0.1100,0.0942,0.00000000000000,1f236bff7df7ad2c
Gemma-2-9b-it__WebLINX,240,230,200,42,14,0.1750,0.1826,0.1800,0.0700,-0.0050,-0.0200,0.0100,0.1100,0.0900,0.1300,0.1050,0.00000000000000,171d68a1a1d3ede1
Gemma-2-9b-it__Adversarial-Integrity,240,230,199,55,28,0.2292,0.2391,0.2613,0.1407,-0.0321,-0.0471,-0.0171,0.1206,0.1006,0.1406,0.0885,0.00000000000000,15fecc3bff16ab71
