method,n,median_latency_s,p95_latency_s
NoCert,240,1.1143040559777628,1.6696738933466762
MiniCheck,240,1.3051172527696933,1.9571844966040544
AlignScore,240,1.3856103222751177,2.1821689759719525
QAFactEval,240,1.4757268531253733,2.1336755851283855
CMVO,240,1.632578327710592,2.3843622386325825
SignalMatchedFusion,240,1.6648857536988126,2.5233762307958196
PCG-MAS,240,1.891199610479446,2.930783053154303
