method,applicable_cells,mean_risk,mean_coverage,mean_utility,mean_native_utility,mean_token_multiplier,risk_gap_vs_pcg_pp,risk_gap_ci95_low_pp,risk_gap_ci95_high_pp,risk_reduction_vs_nocert_pp
NoCert,56,17.182262726871603,93.18763559953108,86.0757959026621,83.43151544526897,1.0,8.074870371607656,7.856218238473907,8.293522504741404,0.0
MiniCheck,35,12.424347645899473,87.78326257677165,87.63728194685811,84.7924677638069,1.1199999999999999,3.9096458073903007,3.737190682660452,4.082100932120149,3.6535850578631095
AlignScore,35,11.849171715748167,86.44847312019363,88.14485307430377,84.90279437860157,1.1599999999999997,3.3344698772389965,3.190727032715665,3.4782127217623278,4.228760988014414
QAFactEval,35,12.591709554492985,87.73436482922789,87.22159078668157,84.55832681482505,1.21,4.077007715983813,3.889805840604332,4.264209591363294,3.4862231492695974
CMVO,56,11.972229328358923,84.46545953195586,87.69957338332621,85.10085410588921,1.3,2.864836973094974,2.626451322246636,3.103222623943312,5.2100333985126825
SignalMatchedFusion,56,11.108326693748053,83.71081156351745,88.09014552481419,84.99122056913335,1.3900000000000001,2.000934338484104,1.812248288927994,2.1896203880402134,6.073936033123551
PCG-MAS,56,9.10739235526395,82.57219958300732,88.85215133290971,85.5233546367695,1.5600000000000003,0.0,0.0,0.0,8.074870371607656
