design_name,estimate,standard_error,confidence_interval,effective_sample_size,population_size,selection_probability_source
pooled,0.0520,0.0030,0.0059,13440.0,13440,uniform_random
stratified,0.0500,0.0028,0.0055,12768.0,13440,frozen_strata_weights
horvitz_thompson,0.0510,0.0032,0.0063,12364.8,13440,inverse_inclusion_prob
uncovered_region,0.1300,0.0028,0.0055,12768.0,13440,stratified_plus_worst_case_mass
