Design,Estimate,CI width,Violation rate,Worst-stratum cov.,ESS,pi_unc,False certification
Pooled,0.069,0.041,0.084,0.43,480,0.082,0.071
Stratified,0.072,0.044,0.041,0.79,451,0.018,0.029
Importance-weighted,0.074,0.052,0.048,0.73,366,0.024,0.034
Uncovered-region,0.081,0.066,0.022,0.92,329,0.0,0.014
