System,Coverage,H_support,H_exec,Composite,Utility,Tokens,p50 ms
NoCert,0.843,0.082,0.051,0.132,0.615,1202.8,645.6
CitationOnly,0.843,0.046,0.051,0.097,0.639,1498.0,738.0
ShieldAgent,0.843,0.079,0.021,0.100,0.637,1649.7,835.1
AgentRR,0.843,0.068,0.031,0.099,0.638,1773.8,941.3
PCG-MAS,0.843,0.046,0.023,0.069,0.691,2296.8,1249.6
