System,lat p50 (ms),lat p95 (ms),model calls,retrieval,tool,checker,replay,cost (USD),cost / accepted correct
agentrr,169.32,215.51,200,200,0,200,0,0.13999999999999999,0.000880503144654088
citation_only,129.11,155.37,200,200,0,200,0,0.1,0.0006211180124223603
nocert,96.64,121.34,200,0,0,0,0,0.08,0.0005405405405405405
pcg_mas,175.29,216.08,600,200,0,400,200,0.13999999999999999,0.0008333333333333333
shieldagent,124.47,154.64,200,200,0,200,0,0.1,0.0006329113924050633
