Condition,N,Precision,Recall,FPR,FNR,CheckFail,Coverage,PCG accepted harm
context_truncation,300,0.9678899082568807,0.9504504504504504,0.08974358974358974,0.04954954954954955,0.023333333333333334,0.7266666666666667,0.03211009174311927
distractor_evidence,300,0.9723502304147466,0.9547511312217195,0.0759493670886076,0.04524886877828054,0.02,0.7233333333333334,0.027649769585253458
negation_traps,300,0.9642857142857143,0.9557522123893806,0.10810810810810811,0.04424778761061947,0.02666666666666667,0.7466666666666667,0.03571428571428571
nominal,300,0.9954128440366973,0.9559471365638766,0.0136986301369863,0.04405286343612335,0.0033333333333333335,0.7266666666666667,0.0045871559633027525
weaker_checker,300,0.9388646288209607,0.9728506787330317,0.17721518987341772,0.027149321266968326,0.04666666666666667,0.7633333333333333,0.0611353711790393
