System,N,N_acc,realised coverage,H_joint
agentrr,200,173,0.865,0.07514450867052024
citation_only,200,163,0.815,0.13496932515337423
nocert,200,172,0.86,0.13953488372093023
pcg_mas,200,168,0.84,0.05952380952380952
shieldagent,200,164,0.82,0.13414634146341464
