System,lat p50,lat p95,tokens in,tokens out,cost/accepted correct
agentrr,169.32,215.51,42000,15600,0.000880503144654088
citation_only,129.11,155.37,30000,11200,0.0006211180124223603
nocert,96.64,121.34,24000,9000,0.0005405405405405405
pcg_mas,175.29,216.08,42000,15600,0.0008333333333333333
shieldagent,124.47,154.64,30000,11200,0.0006329113924050633
