Stratum,pi_h,inner sum,clipped,contribution
h0,0.2,0.5596442295568911,False,0.11192884591137822
h1,0.2,0.5729775628902244,False,0.11459551257804489
h2,0.2,0.5396442295568911,False,0.10792884591137822
h3,0.2,0.5496442295568911,False,0.10992884591137822
pi_unc (charged once),0.19999999999999996,,,
B_cov(delta),,,,0.4443820503121795
ContractBad bound,,,,0.6443820503121794
