dataset,selection_pp,verification_pp,total_pp,verification_share
FEVER,2.0647139366439364,3.368743791366422,5.433457728010358,0.62
HotpotQA,2.0434760686588658,4.0036269742235575,6.047103042882424,0.6620735492403949
PubMedQA,2.188905492941031,4.354220491218605,6.543125984159636,0.6654648713412841
TAT-QA,2.6650197067820964,4.480878094662211,7.145897801444307,0.6270560004029934
2Wiki,3.026705205569113,4.216986881849511,7.243692087418625,0.5821598752346036
Mind2Web,3.412008619703237,4.5609760924147515,7.972984712117988,0.5720537862668431
BFCL V1,3.1984303841500035,4.920015419047201,8.118445803197204,0.6060292250900537
AgentDojo,2.9661664301647956,5.578153618583611,8.544320048748407,0.6528493299359395
