regime,attack_success,accepted_attack,false_refusal,detection,rho_ucb
Retrieved content,8.2,1.4,3.9,90.3,1.19
Tool output,10.4,1.9,4.6,91.8,1.24
Delegated message,12.6,2.6,5.1,89.1,1.32
Shared verifier context,27.1,12.1,8.1,60.4,2.74
