Variant,Delta risk pp,Dispersion
- $V_H$,2.8,0.81
- $V_\Gamma$,2.6,0.82
- $V_\Pi$,4.3,0.80
- $V_\vdash$,4.9,0.84
Full PCG-MAS,0.6,0.79
