Privacy parameter,Modelled utility,Modelled risk,Uncertainty
0.25,64.86313713864834,3.466795737586676,1.2135597524338355
0.5,68.01955000865388,3.848195626045676,1.006230589874905
1.0,73.0,4.45,0.7893522173763262
2.0,80.01955000865388,5.298195626045676,0.5934424260562083
4.0,88.86313713864834,6.366795737586675,0.434018539953371
8.0,99.03910001730776,7.596391252091353,0.3123945605252805
