Variant,Delta risk pp,Dispersion
- $V_H$,2.8,0.81
- $V_\Gamma$,2.6,0.82
- $V_\Pi$,4.3,0.80
- $V_\vdash$,4.9,0.84
Full PCG-MAS,0.6,0.79
NoPrune,2.3,0.84
NoReplay,4.1,0.84
NoRiskCtrl,2.0,0.85
SingleWindow,1.8,0.80
