Cell,NoCert C,Shield C,PCG C,NoCert A,Shield A,PCG A,Cert. cov.,Resp.@1,Utility
phi-3.5-mini/FEVER,0.122,0.073,0.040,0.139,0.128,0.082,0.833,0.667,0.704
qwen2.5-7B/HotpotQA,0.165,0.136,0.059,0.217,0.165,0.091,0.842,0.692,0.697
Llama-3.1-8B/PubMedQA,0.078,0.055,0.030,0.148,0.138,0.051,0.842,0.650,0.719
Gemma-2-9b-it/TAT-QA,0.139,0.127,0.119,0.174,0.165,0.091,0.842,0.767,0.653
Llama-3.3-70B/ToolBench,0.139,0.099,0.069,0.191,0.118,0.100,0.850,0.725,0.697
deepseek-v3/WebLINX,0.139,0.063,0.069,0.165,0.127,0.080,0.850,0.733,0.697
