Cell,Closed Top-1,Mixed Top-1,Open Top-1,Top-3,Unknown,Margin
phi-3.5-mini/FEVER,0.667,0.625,0.551,0.792,0.075,0.268
qwen2.5-7B/HotpotQA,0.692,0.635,0.560,0.834,0.058,0.307
Llama-3.1-8B/PubMedQA,0.650,0.613,0.539,0.797,0.071,0.317
Gemma-2-9b-it/TAT-QA,0.767,0.710,0.636,0.843,0.087,0.304
Llama-3.3-70B/ToolBench,0.725,0.665,0.592,0.822,0.071,0.336
deepseek-v3/WebLINX,0.733,0.711,0.638,0.859,0.025,0.346
