Cell,Clean gain,Adv gain,Audit cov.,Shield gap,Resp. lift,Control gain
phi-3.5-mini/FEVER,3.04x,1.70x,0.786,1.82x,11.4pp,1.50x
qwen2.5-7B/HotpotQA,2.78x,2.39x,0.842,2.30x,11.7pp,1.84x
Llama-3.1-8B/PubMedQA,2.63x,2.93x,0.889,1.84x,11.6pp,1.30x
Gemma-2-9b-it/TAT-QA,1.17x,1.91x,0.750,1.07x,11.8pp,1.00x
Llama-3.3-70B/ToolBench,2.03x,1.91x,0.812,1.44x,12.3pp,1.13x
deepseek-v3/WebLINX,2.03x,2.07x,0.812,0.92x,12.3pp,0.82x
