Cell,Top-1,Top-3,Margin,Unresolved,Top component,DeltaSuccess
phi-3.5-mini/FEVER,0.667,0.842,0.268,0.050,retrieval,0.164
qwen2.5-7B/HotpotQA,0.692,0.883,0.303,0.008,retrieval,0.173
Llama-3.1-8B/PubMedQA,0.650,0.900,0.318,0.017,retrieval,0.165
Gemma-2-9b-it/TAT-QA,0.767,0.892,0.311,0.017,checker,0.186
Llama-3.3-70B/ToolBench,0.725,0.883,0.332,0.017,tool,0.178
deepseek-v3/WebLINX,0.733,0.883,0.355,0.000,tool,0.182
