B_info,eta,Utility,Harm,Leakage AUC
32,0.000,0.717,0.090,0.746
32,0.180,0.684,0.104,0.652
64,0.000,0.732,0.085,0.731
64,0.180,0.700,0.099,0.638
128,0.000,0.757,0.077,0.702
128,0.180,0.725,0.091,0.609
256,0.000,0.788,0.066,0.645
256,0.180,0.756,0.079,0.551
