Cell,Full,-V_H,-V_Pi,-V_Gamma,-V_entail
phi-3.5-mini/FEVER,0.040,0.049,0.058,0.087,0.049
qwen2.5-7B/HotpotQA,0.069,0.078,0.115,0.077,0.115
Llama-3.1-8B/PubMedQA,0.030,0.029,0.038,0.038,0.038
Gemma-2-9b-it/TAT-QA,0.119,0.107,0.115,0.135,0.115
Llama-3.3-70B/ToolBench,0.059,0.067,0.076,0.086,0.076
deepseek-v3/WebLINX,0.078,0.058,0.095,0.114,0.067
