Cell,NoCert C,Shield C,PCG C,NoCert A,Shield A,PCG A,Cert. cov.,Resp.@1,Utility
deepseek-llm-7b-chat/Adversarial-Integrity,0.296,0.209,0.120,0.270,0.183,0.111,0.833,0.692,0.645
deepseek-llm-7b-chat/TAT-QA,0.165,0.145,0.079,0.174,0.147,0.091,0.842,0.683,0.682
deepseek-llm-7b-chat/ToolBench,0.235,0.173,0.120,0.217,0.147,0.141,0.833,0.625,0.645
deepseek-llm-7b-chat/WebLINX,0.157,0.127,0.070,0.174,0.147,0.091,0.833,0.725,0.682
deepseek-v3/2WikiMultihopQA,0.157,0.126,0.069,0.139,0.127,0.070,0.850,0.692,0.697
deepseek-v3/FEVER,0.070,0.063,0.039,0.113,0.073,0.030,0.850,0.742,0.719
deepseek-v3/HotpotQA,0.087,0.099,0.059,0.148,0.145,0.080,0.850,0.783,0.704
deepseek-v3/PubMedQA,0.087,0.072,0.049,0.174,0.145,0.100,0.850,0.792,0.711
deepseek-v3/Adversarial-Integrity,0.191,0.153,0.108,0.183,0.164,0.100,0.850,0.675,0.667
deepseek-v3/TAT-QA,0.096,0.072,0.069,0.148,0.109,0.030,0.850,0.833,0.697
deepseek-v3/ToolBench,0.122,0.081,0.039,0.183,0.127,0.100,0.850,0.683,0.719
phi-3.5-mini/2WikiMultihopQA,0.209,0.200,0.130,0.261,0.220,0.133,0.833,0.700,0.638
phi-3.5-mini/HotpotQA,0.209,0.182,0.130,0.183,0.165,0.133,0.833,0.633,0.638
phi-3.5-mini/PubMedQA,0.139,0.136,0.100,0.139,0.083,0.041,0.833,0.750,0.660
phi-3.5-mini/Adversarial-Integrity,0.235,0.164,0.110,0.296,0.229,0.122,0.833,0.658,0.653
phi-3.5-mini/TAT-QA,0.148,0.145,0.090,0.209,0.174,0.082,0.833,0.625,0.667
phi-3.5-mini/ToolBench,0.252,0.164,0.130,0.261,0.165,0.153,0.833,0.608,0.638
phi-3.5-mini/WebLINX,0.200,0.145,0.110,0.270,0.183,0.143,0.833,0.650,0.653
qwen2.5-7B/2WikiMultihopQA,0.191,0.136,0.059,0.209,0.183,0.141,0.842,0.708,0.697
qwen2.5-7B/FEVER,0.122,0.100,0.059,0.139,0.101,0.081,0.842,0.683,0.697
qwen2.5-7B/PubMedQA,0.113,0.091,0.059,0.148,0.138,0.071,0.842,0.692,0.697
qwen2.5-7B/Adversarial-Integrity,0.200,0.155,0.120,0.261,0.165,0.091,0.833,0.700,0.645
qwen2.5-7B/TAT-QA,0.139,0.136,0.099,0.217,0.165,0.111,0.842,0.758,0.667
qwen2.5-7B/ToolBench,0.096,0.045,0.020,0.209,0.147,0.121,0.842,0.700,0.726
qwen2.5-7B/WebLINX,0.139,0.091,0.069,0.200,0.101,0.091,0.842,0.675,0.689
