Cell,Full C,Full A,NoReplay C,NoReplay A,NoRedundancy C,NoRedundancy A,NoRiskCtrl C,NoRiskCtrl A,NoPrune C,NoPrune A
phi-3.5-mini/FEVER,0.040,0.061,0.058,0.079,0.049,0.070,0.045,0.074,0.051,0.062
qwen2.5-7B/HotpotQA,0.069,0.081,0.106,0.088,0.078,0.099,0.090,0.092,0.060,0.092
Llama-3.1-8B/PubMedQA,0.030,0.061,0.029,0.078,0.029,0.079,0.027,0.055,0.030,0.010
Gemma-2-9b-it/TAT-QA,0.119,0.091,0.115,0.108,0.117,0.099,0.108,0.092,0.120,0.082
Llama-3.3-70B/ToolBench,0.059,0.090,0.076,0.107,0.067,0.108,0.063,0.091,0.069,0.081
deepseek-v3/WebLINX,0.078,0.070,0.076,0.087,0.077,0.078,0.072,0.091,0.069,0.071
