System,phi-3.5-mini/FEVER,Gemma-2-9b-it/TAT-QA,Llama-3.3-70B/ToolBench,deepseek-v3/WebLINX
NoCert,0.122/0.139,0.139/0.174,0.139/0.191,0.139/0.165
CitationOnly,0.085/0.086,0.131/0.094,0.103/0.170,0.121/0.123
ShieldAgent,0.073/0.128,0.127/0.165,0.099/0.118,0.063/0.127
AgentRR,0.065/0.103,0.130/0.130,0.101/0.130,0.101/0.093
VERIMAP,0.057/0.076,0.113/0.133,0.038/0.075,0.084/0.104
PCG-MAS,0.040/0.082,0.119/0.091,0.069/0.100,0.069/0.080
