system_name,evaluated_examples,accepted_count,h_support,h_exec,h_composite,coverage,utility,tokens,latency_ms
NoCert,13440,12880,0.1126,0.0628,0.1686,0.9583,0.9503,1122.5,659.3
Citation-Only,13440,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0
ShieldAgent,13440,12297,0.1039,0.0299,0.1303,0.9150,0.9125,1555.6,884.3
AgentRR,13440,12104,0.0894,0.0404,0.1264,0.9006,0.8990,1649.7,977.0
PCG-MAS,13440,11211,0.0556,0.0297,0.0838,0.8342,0.8336,2159.8,1338.8
