Cell,Full harm,NoPrune harm,Full cov.,NoPrune cov.,Full tokens,NoPrune tokens,Full p50,NoPrune p50
phi-3.5-mini/FEVER,0.040,0.051,0.833,0.825,910.6,1037.9,792.7,879.8
qwen2.5-7B/HotpotQA,0.069,0.060,0.842,0.833,1522.0,1649.0,1079.5,1149.7
Llama-3.1-8B/PubMedQA,0.030,0.030,0.842,0.833,1734.3,1954.9,1219.9,1270.1
Gemma-2-9b-it/TAT-QA,0.119,0.120,0.842,0.833,1957.2,2186.3,1298.8,1432.2
Llama-3.3-70B/ToolBench,0.059,0.069,0.850,0.842,3535.8,3983.5,1857.9,1956.4
deepseek-v3/WebLINX,0.078,0.069,0.850,0.842,4201.4,4755.4,1955.3,2139.7
