Cell,N,A,NoCert all,NoCert on A,PCG on A,S,S CI,V,V CI
phi-3.5-mini/FEVER,120,100,0.117,0.110,0.040,0.007,"[-0.020,0.036]",0.070,"[0.030,0.125]"
qwen2.5-7B/HotpotQA,120,101,0.158,0.139,0.059,0.020,"[-0.010,0.060]",0.079,"[0.030,0.137]"
Llama-3.1-8B/PubMedQA,120,101,0.075,0.079,0.030,-0.004,"[-0.020,0.017]",0.050,"[0.010,0.097]"
Gemma-2-9b-it/TAT-QA,120,101,0.133,0.158,0.119,-0.025,"[-0.044,-0.011]",0.040,"[0.009,0.079]"
Llama-3.3-70B/ToolBench,120,102,0.133,0.137,0.069,-0.004,"[-0.025,0.023]",0.069,"[0.021,0.122]"
deepseek-v3/WebLINX,120,102,0.133,0.127,0.069,0.006,"[-0.018,0.038]",0.059,"[0.019,0.106]"
