model,dataset,method,applicable,authority
Qwen 3.8 27B,AgentDojo,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Qwen 3.8 27B,AgentDojo,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Qwen 3.8 27B,AgentDojo,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Qwen 3.8 27B,AgentDojo,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,FEVER,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,FEVER,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,FEVER,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,FEVER,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,FEVER,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,FEVER,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,FEVER,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,HotpotQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,HotpotQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,HotpotQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,HotpotQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,HotpotQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,HotpotQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,HotpotQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,PubMedQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,PubMedQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,PubMedQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,PubMedQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,PubMedQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,PubMedQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,PubMedQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,TAT-QA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,TAT-QA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,TAT-QA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,TAT-QA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,TAT-QA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,TAT-QA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,TAT-QA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,2Wiki,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,2Wiki,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,2Wiki,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,2Wiki,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,2Wiki,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,2Wiki,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,2Wiki,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,Mind2Web,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,Mind2Web,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,Mind2Web,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,Mind2Web,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,Mind2Web,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,Mind2Web,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,Mind2Web,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,BFCL V1,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,BFCL V1,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,BFCL V1,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,BFCL V1,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,BFCL V1,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,BFCL V1,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,BFCL V1,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,AgentDojo,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,AgentDojo,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,AgentDojo,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,AgentDojo,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,AgentDojo,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,AgentDojo,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemini 3.1 Flash-Lite,AgentDojo,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,FEVER,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,FEVER,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,FEVER,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,FEVER,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,FEVER,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,FEVER,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,FEVER,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,HotpotQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,HotpotQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,HotpotQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,HotpotQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,HotpotQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,HotpotQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,HotpotQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,PubMedQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,PubMedQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,PubMedQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,PubMedQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,PubMedQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,PubMedQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,PubMedQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,TAT-QA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,TAT-QA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,TAT-QA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,TAT-QA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,TAT-QA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,TAT-QA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,TAT-QA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,2Wiki,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,2Wiki,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,2Wiki,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,2Wiki,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,2Wiki,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,2Wiki,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,2Wiki,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,Mind2Web,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,Mind2Web,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,Mind2Web,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,Mind2Web,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,Mind2Web,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,Mind2Web,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,Mind2Web,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,BFCL V1,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,BFCL V1,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,BFCL V1,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,BFCL V1,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,BFCL V1,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,BFCL V1,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,BFCL V1,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,AgentDojo,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,AgentDojo,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,AgentDojo,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,AgentDojo,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,AgentDojo,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,AgentDojo,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Llama 4 Scout,AgentDojo,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,FEVER,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,FEVER,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,FEVER,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,FEVER,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,FEVER,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,FEVER,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,FEVER,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,HotpotQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,HotpotQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,HotpotQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,HotpotQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,HotpotQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,HotpotQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
