model,dataset,method,applicable,authority
Nemotron 3 120B-A12B,TAT-QA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,2Wiki,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,2Wiki,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,2Wiki,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,2Wiki,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,2Wiki,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,2Wiki,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,2Wiki,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,Mind2Web,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,Mind2Web,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,Mind2Web,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,Mind2Web,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,Mind2Web,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,Mind2Web,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,Mind2Web,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,BFCL V1,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,BFCL V1,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,BFCL V1,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,BFCL V1,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,BFCL V1,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,BFCL V1,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,BFCL V1,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,AgentDojo,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,AgentDojo,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,AgentDojo,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,AgentDojo,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,AgentDojo,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,AgentDojo,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,AgentDojo,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,FEVER,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,FEVER,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,FEVER,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,FEVER,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,FEVER,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,FEVER,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,FEVER,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,HotpotQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,HotpotQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,HotpotQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,HotpotQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,HotpotQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,HotpotQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,HotpotQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,PubMedQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,PubMedQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,PubMedQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,PubMedQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,PubMedQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,PubMedQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,PubMedQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,TAT-QA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,TAT-QA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,TAT-QA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,TAT-QA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,TAT-QA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,TAT-QA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,TAT-QA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,2Wiki,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,2Wiki,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,2Wiki,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,2Wiki,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,2Wiki,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,2Wiki,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,2Wiki,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,Mind2Web,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,Mind2Web,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,Mind2Web,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,Mind2Web,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,Mind2Web,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,Mind2Web,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,Mind2Web,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,BFCL V1,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,BFCL V1,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,BFCL V1,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,BFCL V1,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,BFCL V1,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,BFCL V1,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,BFCL V1,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,AgentDojo,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,AgentDojo,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,AgentDojo,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,AgentDojo,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,AgentDojo,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,AgentDojo,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Gemma 4 26B-A4B,AgentDojo,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,FEVER,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,FEVER,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,FEVER,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,FEVER,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,FEVER,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,FEVER,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,FEVER,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,HotpotQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,HotpotQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,HotpotQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,HotpotQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,HotpotQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,HotpotQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,HotpotQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,PubMedQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,PubMedQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,PubMedQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,PubMedQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,PubMedQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,PubMedQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,PubMedQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,TAT-QA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,TAT-QA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,TAT-QA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,TAT-QA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,TAT-QA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,TAT-QA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,TAT-QA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,2Wiki,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,2Wiki,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,2Wiki,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,2Wiki,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,2Wiki,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,2Wiki,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,2Wiki,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,Mind2Web,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,Mind2Web,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,Mind2Web,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,Mind2Web,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,Mind2Web,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,Mind2Web,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,Mind2Web,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,BFCL V1,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,BFCL V1,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,BFCL V1,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,BFCL V1,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,BFCL V1,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,BFCL V1,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,BFCL V1,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,AgentDojo,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,AgentDojo,MiniCheck,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,AgentDojo,AlignScore,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,AgentDojo,QAFactEval,False,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,AgentDojo,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,AgentDojo,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GLM-4.7 Flash,AgentDojo,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
